itemType,itemNumber,brand,modelNo,serialNo,status,notes,purchaseDate,warrantyEnd,specs
pc,CL2-PC-001,Acer,Veriton M200-P500,,active,Lab 2 Workstation,2024-01-15,2027-01-15,"{""processor"":""AMD Ryzen 3 3200G 3.6GHz"",""ram"":""8GB DDR4"",""storage"":""1TB HDD"",""os"":""Windows 8.1"",""monitor"":""1366x768 HD""}"
pc,CL2-PC-002,Acer,Veriton M200-P500,,active,Lab 2 Workstation,2024-01-15,2027-01-15,"{""processor"":""AMD Ryzen 3 3200G 3.6GHz"",""ram"":""8GB DDR4"",""storage"":""1TB HDD"",""os"":""Windows 8.1"",""monitor"":""1366x768 HD""}"
pc,CL2-PC-003,Acer,Veriton M200-P500,,active,Lab 2 Workstation,2024-01-15,2027-01-15,"{""processor"":""AMD Ryzen 3 3200G 3.6GHz"",""ram"":""8GB DDR4"",""storage"":""1TB HDD"",""os"":""Windows 8.1"",""monitor"":""1366x768 HD""}"
pc,CL2-PC-004,Acer,Veriton M200-P500,,active,Lab 2 Workstation,2024-01-15,2027-01-15,"{""processor"":""AMD Ryzen 3 3200G 3.6GHz"",""ram"":""8GB DDR4"",""storage"":""1TB HDD"",""os"":""Windows 8.1"",""monitor"":""1366x768 HD""}"
pc,CL2-PC-005,Acer,Veriton M200-P500,,active,Lab 2 Workstation,2024-01-15,2027-01-15,"{""processor"":""AMD Ryzen 3 3200G 3.6GHz"",""ram"":""8GB DDR4"",""storage"":""1TB HDD"",""os"":""Windows 8.1"",""monitor"":""1366x768 HD""}"
pc,CL2-PC-006,Acer,Veriton M200-P500,,active,Lab 2 Workstation,2024-01-15,2027-01-15,"{""processor"":""AMD Ryzen 3 3200G 3.6GHz"",""ram"":""8GB DDR4"",""storage"":""1TB HDD"",""os"":""Windows 8.1"",""monitor"":""1366x768 HD""}"
pc,CL2-PC-007,Acer,Veriton M200-P500,,active,Lab 2 Workstation,2024-01-15,2027-01-15,"{""processor"":""AMD Ryzen 3 3200G 3.6GHz"",""ram"":""8GB DDR4"",""storage"":""1TB HDD"",""os"":""Windows 8.1"",""monitor"":""1366x768 HD""}"
pc,CL2-PC-008,Acer,Veriton M200-P500,,active,Lab 2 Workstation,2024-01-15,2027-01-15,"{""processor"":""AMD Ryzen 3 3200G 3.6GHz"",""ram"":""8GB DDR4"",""storage"":""1TB HDD"",""os"":""Windows 8.1"",""monitor"":""1366x768 HD""}"
pc,CL2-PC-009,Acer,Veriton M200-P500,,active,Lab 2 Workstation,2024-01-15,2027-01-15,"{""processor"":""AMD Ryzen 3 3200G 3.6GHz"",""ram"":""8GB DDR4"",""storage"":""1TB HDD"",""os"":""Windows 8.1"",""monitor"":""1366x768 HD""}"
pc,CL2-PC-010,Acer,Veriton M200-P500,,active,Lab 2 Workstation,2024-01-15,2027-01-15,"{""processor"":""AMD Ryzen 3 3200G 3.6GHz"",""ram"":""8GB DDR4"",""storage"":""1TB HDD"",""os"":""Windows 8.1"",""monitor"":""1366x768 HD""}"
pc,CL2-PC-011,Acer,Veriton M200-P500,,active,Lab 2 Workstation,2024-01-15,2027-01-15,"{""processor"":""AMD Ryzen 3 3200G 3.6GHz"",""ram"":""8GB DDR4"",""storage"":""1TB HDD"",""os"":""Windows 8.1"",""monitor"":""1366x768 HD""}"
pc,CL2-PC-012,Acer,Veriton M200-P500,,active,Lab 2 Workstation,2024-01-15,2027-01-15,"{""processor"":""AMD Ryzen 3 3200G 3.6GHz"",""ram"":""8GB DDR4"",""storage"":""1TB HDD"",""os"":""Windows 8.1"",""monitor"":""1366x768 HD""}"
pc,CL2-PC-013,Acer,Veriton M200-P500,,active,Lab 2 Workstation,2024-01-15,2027-01-15,"{""processor"":""AMD Ryzen 3 3200G 3.6GHz"",""ram"":""8GB DDR4"",""storage"":""1TB HDD"",""os"":""Windows 8.1"",""monitor"":""1366x768 HD""}"
pc,CL2-PC-014,Acer,Veriton M200-P500,,active,Lab 2 Workstation,2024-01-15,2027-01-15,"{""processor"":""AMD Ryzen 3 3200G 3.6GHz"",""ram"":""8GB DDR4"",""storage"":""1TB HDD"",""os"":""Windows 8.1"",""monitor"":""1366x768 HD""}"
pc,CL2-PC-015,Acer,Veriton M200-P500,,active,Lab 2 Workstation,2024-01-15,2027-01-15,"{""processor"":""AMD Ryzen 3 3200G 3.6GHz"",""ram"":""8GB DDR4"",""storage"":""1TB HDD"",""os"":""Windows 8.1"",""monitor"":""1366x768 HD""}"
pc,CL2-PC-016,Acer,Veriton M200-P500,,active,Lab 2 Workstation,2024-01-15,2027-01-15,"{""processor"":""AMD Ryzen 3 3200G 3.6GHz"",""ram"":""8GB DDR4"",""storage"":""1TB HDD"",""os"":""Windows 8.1"",""monitor"":""1366x768 HD""}"
pc,CL2-PC-017,Acer,Veriton M200-P500,,active,Lab 2 Workstation,2024-01-15,2027-01-15,"{""processor"":""AMD Ryzen 3 3200G 3.6GHz"",""ram"":""8GB DDR4"",""storage"":""1TB HDD"",""os"":""Windows 8.1"",""monitor"":""1366x768 HD""}"
pc,CL2-PC-018,Acer,Veriton M200-P500,,active,Lab 2 Workstation,2024-01-15,2027-01-15,"{""processor"":""AMD Ryzen 3 3200G 3.6GHz"",""ram"":""8GB DDR4"",""storage"":""1TB HDD"",""os"":""Windows 8.1"",""monitor"":""1366x768 HD""}"
pc,CL2-PC-019,Acer,Veriton M200-P500,,active,Lab 2 Workstation,2024-01-15,2027-01-15,"{""processor"":""AMD Ryzen 3 3200G 3.6GHz"",""ram"":""8GB DDR4"",""storage"":""1TB HDD"",""os"":""Windows 8.1"",""monitor"":""1366x768 HD""}"
printer,CL2-PR-001,HP,LaserJet Pro M202dw,,active,Lab 2 Printer,2024-01-15,2027-01-15,"{""printType"":""Monochrome Laser"",""printSpeed"":""25 ppm"",""resolution"":""1200x1200 dpi"",""duplex"":""Automatic"",""connectivity"":""USB/Ethernet/WiFi"",""paperSize"":""A4/A5/A6""}"
router,CL2-RT-001,TP-Link,Archer C6,,active,Lab 2 WiFi Router,2024-01-15,2027-01-15,"{""speed"":""AC1200 (867+300 Mbps)"",""frequency"":""Dual Band 2.4/5GHz"",""ports"":""4x Gigabit LAN + 1x Gigabit WAN"",""antennas"":""4 External"",""muMimo"":""Yes"",""security"":""WPA3/WPA2""}"
chair,CL2-CH-001,Standard,Office Chair,,active,Lab 2 Chair,2024-01-15,2029-01-15,"{""material"":""Fabric"",""color"":""Black"",""adjustable"":""Yes""}"
chair,CL2-CH-002,Standard,Office Chair,,active,Lab 2 Chair,2024-01-15,2029-01-15,"{""material"":""Fabric"",""color"":""Black"",""adjustable"":""Yes""}"
chair,CL2-CH-003,Standard,Office Chair,,active,Lab 2 Chair,2024-01-15,2029-01-15,"{""material"":""Fabric"",""color"":""Black"",""adjustable"":""Yes""}"
chair,CL2-CH-004,Standard,Office Chair,,active,Lab 2 Chair,2024-01-15,2029-01-15,"{""material"":""Fabric"",""color"":""Black"",""adjustable"":""Yes""}"
chair,CL2-CH-005,Standard,Office Chair,,active,Lab 2 Chair,2024-01-15,2029-01-15,"{""material"":""Fabric"",""color"":""Black"",""adjustable"":""Yes""}"
chair,CL2-CH-006,Standard,Office Chair,,active,Lab 2 Chair,2024-01-15,2029-01-15,"{""material"":""Fabric"",""color"":""Black"",""adjustable"":""Yes""}"
chair,CL2-CH-007,Standard,Office Chair,,active,Lab 2 Chair,2024-01-15,2029-01-15,"{""material"":""Fabric"",""color"":""Black"",""adjustable"":""Yes""}"
chair,CL2-CH-008,Standard,Office Chair,,active,Lab 2 Chair,2024-01-15,2029-01-15,"{""material"":""Fabric"",""color"":""Black"",""adjustable"":""Yes""}"
chair,CL2-CH-009,Standard,Office Chair,,active,Lab 2 Chair,2024-01-15,2029-01-15,"{""material"":""Fabric"",""color"":""Black"",""adjustable"":""Yes""}"
chair,CL2-CH-010,Standard,Office Chair,,active,Lab 2 Chair,2024-01-15,2029-01-15,"{""material"":""Fabric"",""color"":""Black"",""adjustable"":""Yes""}"
chair,CL2-CH-011,Standard,Office Chair,,active,Lab 2 Chair,2024-01-15,2029-01-15,"{""material"":""Fabric"",""color"":""Black"",""adjustable"":""Yes""}"
